market,okx_inst_id,historical_oi_available,current_exact_oi_available,endpoint_method_used,earliest_timestamp,latest_timestamp,row_count,sampling_interval,oi_value_field,oi_unit_currency_contract_denomination,appears_exact_instrument_or_aggregate,gaps,duplicate_timestamps,timezone_consistency,fetch_timestamp_utc,raw_data_path,usability_class
AAVEUSDT,AAVE-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
ADAUSDT,ADA-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
ATOMUSDT,ATOM-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T14:00:00+00:00,719,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,not_proven_exact_instrument,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
AVAXUSDT,AVAX-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
BCHUSDT,BCH-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
BNBUSDT,BNB-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
BTCUSDT,BTC-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
DOGEUSDT,DOGE-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
DOTUSDT,DOT-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,not_proven_exact_instrument,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
ETCUSDT,ETC-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
ETHUSDT,ETH-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
FILUSDT,FIL-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
LINKUSDT,LINK-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
LTCUSDT,LTC-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
NEARUSDT,NEAR-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
SOLUSDT,SOL-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
TRXUSDT,TRX-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
UNIUSDT,UNI-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
XRPUSDT,XRP-USDT-SWAP,True,True,native_current_exact plus native_rubik_historical_ccy plus ccxt_history,2026-04-23T16:00:00+00:00,2026-05-23T15:00:00+00:00,720,60m,historical data[1]; current oi/oiCcy/oiUsd,historical ccy aggregate value/volume arrays without instId; current exact oi contracts plus oiCcy base plus oiUsd,aggregate_or_currency_route_instid_not_honored,0,0,UTC_epoch_ms,2026-05-23T15:13:20.999725+00:00,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,usable_only_as_aggregate_context
