timestamp,bar_offset,open,high,low,close,atr,ema20,ema50,highest_since_entry,base_stop,tp1_price_theoretical,tp2_price_theoretical,tp1_hit_theoretical,tp2_hit_theoretical,break_even_floor,trail_raw,runner_stop_theoretical,lifecycle_entry_time
2025-08-10 00:00:00+00:00,0,116462.25,118500.0,116460.63,118500.0,943.1695072089266,116480.58551430916,115971.4700430575,118500.0,117085.2457391866,119914.7542608134,121895.41022595213,False,False,117085.2457391866,116377.86860877991,117085.2457391866,2025-08-10 00:00:00+00:00
2025-08-10 04:00:00+00:00,1,118500.0,118741.77,117466.34,117808.3,966.9023995511466,116607.03451294638,116043.50259038858,118741.77,117049.64640067329,119950.35359932671,121980.84863838412,False,False,117049.64640067329,116566.23960100992,117049.64640067329,2025-08-10 00:00:00+00:00
2025-08-10 08:00:00+00:00,2,117808.29,118500.0,117608.01,118330.58,961.5515138689221,116771.18170218958,116133.19190056944,118741.77,117057.67272919662,119942.32727080338,121961.58544992813,False,False,117057.67272919662,116578.27909379493,117057.67272919662,2025-08-10 00:00:00+00:00
2025-08-10 12:00:00+00:00,3,118330.58,119113.94,118232.0,118815.0,955.8649771639994,116965.83106388582,116238.36084564515,119113.94,117066.202534254,119933.797465746,121941.1139177904,False,False,117066.202534254,116963.243801381,117066.202534254,2025-08-10 00:00:00+00:00
2025-08-10 16:00:00+00:00,4,118815.0,118944.24,118433.8,118663.08,924.048907366571,117127.47381970623,116333.44787130613,119113.94,117113.92663895014,119886.07336104986,121826.57606651966,False,False,117113.92663895014,117034.82995842522,117113.92663895014,2025-08-10 00:00:00+00:00
2025-08-10 20:00:00+00:00,5,118663.09,119311.11,118074.99,119294.01,946.3396996975299,117333.81059878183,116449.54834694118,119311.11,117080.49045045371,119919.50954954629,121906.8229189111,False,False,117080.49045045371,117181.84567568055,117181.84567568055,2025-08-10 00:00:00+00:00
2025-08-11 00:00:00+00:00,6,119294.27,122164.07,118972.59,121728.99,1106.7068640048499,117752.39911318355,116656.58527451212,122164.07,116839.93970399273,120160.06029600727,122484.14471041746,True,False,118673.83534320025,119673.97955598909,119673.97955598909,2025-08-10 00:00:00+00:00
2025-08-11 04:00:00+00:00,7,121729.0,122335.16,121466.08,121537.15,1089.733516575932,118112.85157859464,116847.9799696293,122335.16,116865.3997251361,120134.6002748639,122423.04065967335,True,False,118672.9866758288,119883.25958770416,119883.25958770416,2025-08-10 00:00:00+00:00
2025-08-11 08:00:00+00:00,8,121537.14,121823.0,120286.4,120561.54,1121.652551106223,118346.05999968086,116993.60977474188,122335.16,116817.52117334066,120182.47882665934,122537.9491839824,True,False,118674.58262755531,119811.441760011,119811.441760011,2025-08-10 00:00:00+00:00
2025-08-11 12:00:00+00:00,9,120561.53,120667.54,119382.91,120314.4,1133.2937974557778,118533.52095209219,117123.83684239906,122335.16,116800.05930381634,120199.94069618366,122579.8576708408,True,False,118675.16468987279,119785.2489557245,119785.2489557245,2025-08-10 00:00:00+00:00
2025-08-12 00:00:00+00:00,0,118686.0,119275.46,118593.39,118857.7,1165.4229420591644,118620.86321243929,117321.84063950824,119275.46,117109.56558691124,120605.83441308873,123053.22259141298,False,False,117109.56558691124,116653.25838036688,117109.56558691124,2025-08-12 00:00:00+00:00
2025-08-12 04:00:00+00:00,1,118857.7,119158.06,118424.86,118986.72,1134.5498747692238,118655.70671601649,117387.1300261942,119275.46,117155.87518784615,120559.52481215382,122942.07954916918,False,False,117155.87518784615,116722.72278176925,117155.87518784615,2025-08-12 00:00:00+00:00
2025-08-12 08:00:00+00:00,2,118986.73,119058.43,118207.47,118522.22,1114.2934551428502,118642.99369544348,117431.64335850031,119275.46,117186.25981728571,120529.14018271425,122869.15643851424,False,False,117186.25981728571,116768.29972592859,117186.25981728571,2025-08-12 00:00:00+00:00
2025-08-12 12:00:00+00:00,3,118522.22,119960.0,118285.0,119933.0,1154.3439226326466,118765.85143873458,117529.73577581403,119960.0,117126.18411605101,120589.21588394896,123013.33812147751,False,False,117126.18411605101,117362.72617407654,117362.72617407654,2025-08-12 00:00:00+00:00
2025-08-12 16:00:00+00:00,4,119933.0,120192.1,119172.62,119665.27,1144.7107853017442,118851.51034933129,117613.48221597819,120192.1,117140.63382204737,120574.7661779526,122978.65882708626,False,False,117140.63382204737,117616.50073307108,117616.50073307108,2025-08-12 00:00:00+00:00
2025-08-12 20:00:00+00:00,5,119665.27,120324.43,119485.84,120134.08,1122.845014923048,118973.65983987116,117712.32918790061,120324.43,117173.43247761541,120541.96752238456,122899.94205372296,False,False,117173.43247761541,117798.02871642314,117798.02871642314,2025-08-12 00:00:00+00:00
2025-08-13 00:00:00+00:00,6,120134.09,120192.1,119094.28,119482.01,1121.0575138571164,119022.07414083582,117781.72843543394,120324.43,117176.11372921431,120539.28627078565,122893.50704988561,False,False,117176.11372921431,117802.05059382148,117802.05059382148,2025-08-12 00:00:00+00:00
2025-08-13 04:00:00+00:00,7,119482.01,119820.18,118920.92,119580.4,1105.2148342958935,119075.24803218478,117852.26457522085,120324.43,117199.87774855614,120515.52225144382,122836.4734034652,False,False,117199.87774855614,117837.69662283424,117837.69662283424,2025-08-12 00:00:00+00:00
2025-08-13 08:00:00+00:00,8,119580.4,120732.94,119446.22,120570.41,1118.179488989044,119217.64441007195,117958.85851344749,120732.94,117180.43076651642,120534.96923348354,122883.14616036054,True,False,119032.46667444943,118217.03614977465,119032.46667444943,2025-08-12 00:00:00+00:00
2025-08-13 12:00:00+00:00,9,120570.41,122200.0,120106.02,120920.62,1187.8795254898264,119379.83256149368,118075.00602272406,122200.0,117075.88071176525,120639.51928823472,123134.06629176336,True,False,119035.95167627446,119527.27106764789,119527.27106764789,2025-08-12 00:00:00+00:00
2025-08-13 16:00:00+00:00,10,120920.61,122839.47,120920.61,122744.21,1240.0924165262675,119700.24946039905,118258.11206104861,122839.47,116997.56137521059,120717.83862478938,123322.03269949455,True,False,119038.56232082628,120049.2620628159,120049.2620628159,2025-08-12 00:00:00+00:00
2025-08-13 20:00:00+00:00,11,122744.22,123667.79,122298.2,123306.43,1249.3422439172482,120043.69522607533,118456.08531355651,123667.79,116983.68663412411,120731.71336587585,123355.33207810207,True,True,119039.02481219584,120856.76995118619,120856.76995118619,2025-08-12 00:00:00+00:00
2025-08-14 00:00:00+00:00,12,123306.44,124474.0,123250.5,123337.14,1247.4963693517304,120357.35663311578,118647.49922282882,124474.0,116986.45544597239,120728.94455402758,123348.68692966622,True,True,119038.93251846757,121667.13316895861,121667.13316895861,2025-08-12 00:00:00+00:00
2025-08-14 04:00:00+00:00,13,123337.14,123428.6,121313.86,121725.31,1309.4423429694643,120487.63790615238,118768.19768467867,124474.0,116893.53648554579,120821.86351445418,123571.69243469005,True,True,119042.02981714845,121527.7547283187,121527.7547283187,2025-08-12 00:00:00+00:00
2025-09-16 04:00:00+00:00,0,115307.26,116009.62,114930.0,115840.0,771.2277030922544,115324.21714762688,114359.49986398741,116009.62,114683.15844536162,116996.84155463838,118616.41973113212,False,False,114683.15844536162,114274.35766804242,114683.15844536162,2025-09-16 04:00:00+00:00
2025-09-16 08:00:00+00:00,1,115839.99,115981.17,115206.15,115287.83,771.498581442808,115320.75170499575,114395.90496736046,116009.62,114682.75212783579,116997.24787216421,118617.39489319411,False,False,114682.75212783579,114273.74819175368,114682.75212783579,2025-09-16 04:00:00+00:00
2025-09-16 12:00:00+00:00,2,115287.84,115905.89,114737.11,115905.88,799.8758256254646,115376.47820928186,114455.1196745228,116009.62,114640.1862615618,117039.8137384382,118719.55297225167,False,False,114640.1862615618,114209.8993923427,114640.1862615618,2025-09-16 04:00:00+00:00
