field,executed_followthrough_avg,executed_adverse_avg,executed_delta_follow_minus_adverse,starter_followthrough_avg,starter_adverse_avg,starter_delta_follow_minus_adverse,directionally_consistent,combined_abs_delta
fwd_24bar_mfe_atr,4.483571615973689,1.3019996206813278,3.1815719952923613,5.298585931646947,1.1710038719425329,4.127582059704414,True,7.3091540549967755
fwd_24bar_mae_atr,0.5996891765440567,3.618910615163931,-3.019221438619874,0.7959738752862897,3.994782713832036,-3.1988088385457463,True,6.218030277165621
entry_adx,24.682970871658483,26.29270654662889,-1.6097356749704055,21.805555093281207,25.697949681318338,-3.8923945880371313,True,5.502130263007537
entry_di_spread,-10.16781482966469,-7.9962107378391085,-2.171604091825582,-7.501154983918579,-6.7544603114707416,-0.7466946724478376,True,2.9182987642734197
entry_plus_di,15.63756234709354,17.53454593086781,-1.8969835837742703,16.1378372927199,17.065720633512107,-0.9278833407922065,True,2.824866924566477
entry_rsi,44.966878716492,45.01477852227202,-0.04789980578001973,43.91596985633196,44.53947847351934,-0.623508617187376,True,0.6714084229673958
entry_high_minus_ema50_atr,-0.34464069109070056,-0.5900143235852443,0.24537363249454375,-0.33058203425567223,-0.5386567254213714,0.2080746911656992,True,0.45344832366024296
entry_exec_distance_atr,1.0232641256199513,1.2825670887861362,-0.25930296316618495,1.1058412697463909,1.2412764826713638,-0.13543521292497296,True,0.3947381760911579
entry_short_resumption_strong_pass_share,0.16666666666666666,0.4117647058823529,-0.24509803921568626,0.2857142857142857,0.33962264150943394,-0.053908355795148244,True,0.2990063950108345
fwd_24bar_short_return,0.05540003348555406,-0.04257727856136137,0.09797731204691543,0.0844672280253026,-0.04903818612036633,0.13350541414566894,True,0.23148272619258436
entry_short_ema20_gap_atr,0.3921946162525696,0.3859457797762249,0.006248836476344666,0.5150742679232289,0.42023823391343507,0.09483603400979379,True,0.10108487048613846
entry_close_minus_ema20_atr,-0.3921946162525696,-0.3859457797762249,-0.006248836476344666,-0.5150742679232289,-0.42023823391343507,-0.09483603400979379,True,0.10108487048613846
entry_atr,0.13675525652637646,0.0925056416564408,0.04424961486993566,0.12350303499106621,0.0956231746146314,0.027879860376434806,True,0.07212947524637046
entry_atr_ma,0.13175386241924883,0.09340803763715523,0.0383458247820936,0.11846042907746665,0.09386191665991195,0.024598512417554702,True,0.0629443371996483
entry_atr_ratio,1.0563452345812767,1.006080389906146,0.050264844675130815,1.027631950178682,1.0255318304668344,0.0021001197118475368,True,0.05236496438697835
entry_minus_di,25.80537717675823,25.530756668706918,0.27462050805131355,23.638992276638476,23.820180944982855,-0.18118866834437952,False,0.45580917639569307
entry_close_minus_cont_low_atr,1.7456627179033077,1.7169563740526714,0.028706343850636307,1.181618903892464,1.5199322358436664,-0.3383133319512024,False,0.3670196758018387
entry_weekly_bear_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_daily_bear_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_bear_structure_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_slope_down_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_adx_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_atr_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_distance_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_distance_cap_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_ema20_proximity_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_bear_momentum_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_squeeze_risk_pass_share,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0
entry_short_squeeze_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_pullback_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_resumption_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_add_short_signal_pass_share,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0
