scope,market,tag,count,winners,losers,flat,total_pnl,avg_pnl,median_pnl,win_rate,contribution_to_total_pnl_pct,worst_trade_pnl,drawdown_relevance
aggregate,ALL_4H_MARKETS,Long1,1678,1064,614,0,4863.715327414942,2.8985192654439467,7.100963760173578,63.4088200238379,84.41069930623688,-271.5925064215111,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
aggregate,ALL_4H_MARKETS,Long2,528,217,311,0,2469.5871175239813,4.677248328643904,-4.169332834093215,41.09848484848485,42.86015145928967,-77.37026020704967,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
aggregate,ALL_4H_MARKETS,Short1,524,263,261,0,-1571.3369981539386,-2.9987347293014093,0.011817927150083757,50.19083969465649,-27.270850765526554,-97.40197723209899,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
aggregate,ALL_4H_MARKETS,Short2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,AAVEUSDT,Long1,92,60,32,0,55.51602486409387,0.6034350528705855,12.965161381805181,65.21739130434783,185.67369518610573,-130.84056608294358,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,AAVEUSDT,Long2,30,12,18,0,-7.322891667702837,-0.24409638892342791,-9.938554416227355,40.0,-24.491457353412265,-44.155388971594185,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,AAVEUSDT,Short1,22,10,12,0,-18.293354012027468,-0.831516091455794,-0.02875478239261875,45.45454545454545,-61.18223783269341,-47.40923230053118,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,AAVEUSDT,Short2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,ADAUSDT,Long1,70,40,30,0,137.81352477428837,1.968764639632691,3.753866949231665,57.14285714285714,34.72240353503991,-113.64001640802559,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,ADAUSDT,Long2,18,8,10,0,269.2062893635117,14.955904964639538,-4.781038306794205,44.44444444444444,67.82708321813796,-39.94729535580149,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
market,ADAUSDT,Short1,32,18,14,0,-10.118935328489918,-0.31621672901530995,5.090172012157308,56.25,-2.549486753177871,-37.18505930203857,not_directly_inferable_from_closed_trade_rows; worst_trade_pnl_provided_as_proxy
