field,field_type,executed_followthrough_avg,executed_followthrough_median,executed_adverse_avg,executed_adverse_median,executed_delta_follow_minus_adverse,starter_followthrough_avg,starter_followthrough_median,starter_adverse_avg,starter_adverse_median,starter_delta_follow_minus_adverse,executed_aggregate_direction,starter_aggregate_direction,executed_consistent_markets,executed_testable_markets,executed_consistency_share,executed_contradicting_markets,starter_consistent_markets,starter_testable_markets,starter_consistency_share,starter_contradicting_markets,works_executed_only,works_starter_only,works_both_populations,is_path_metric,both_score,min_consistency_share,abs_executed_delta,abs_starter_delta,combined_abs_delta,candidate_tier,tier_rank
entry_short_ema20_gap_atr,numeric,0.4424217523474931,0.4004872896972984,0.39841501146712877,0.40055466541215956,0.044006740880364326,0.45540325316131375,0.43042377089060213,0.40075540900664786,0.3955597223685611,0.05464784415466589,higher_in_followthrough,higher_in_followthrough,10,11,0.9090909090909091,LTCUSDT,10,11,0.9090909090909091,NEARUSDT,False,False,True,False,0.9090909090909091,0.9090909090909091,0.044006740880364326,0.05464784415466589,0.09865458503503022,stable_both_populations,0
entry_adx,numeric,24.537588195260575,22.88069927247729,27.111466435016396,25.556948432989216,-2.573878239755821,24.412010188591136,22.795826666995467,26.49824569419824,25.08574452230944,-2.086235505607103,lower_in_followthrough,lower_in_followthrough,11,11,1.0,,8,11,0.7272727272727273,"ATOMUSDT,DOTUSDT,NEARUSDT",True,False,False,False,0.8636363636363636,0.7272727272727273,2.573878239755821,2.086235505607103,4.660113745362924,executed_only,1
entry_exec_distance_atr,numeric,1.1155052253972513,1.1805437597817925,1.2412804747473543,1.3275551166548172,-0.12577524935010298,1.1616595331256736,1.1887572662680614,1.1973496454682153,1.2175433612265874,-0.03569011234254171,lower_in_followthrough,lower_in_followthrough,10,11,0.9090909090909091,DOTUSDT,6,11,0.5454545454545454,"ADAUSDT,ETCUSDT,LTCUSDT,NEARUSDT,XRPUSDT",True,False,False,False,0.7272727272727273,0.5454545454545454,0.12577524935010298,0.03569011234254171,0.1614653616926447,executed_only,1
entry_atr_ratio,numeric,0.9970995045345176,0.9699150681152005,1.0126160302136324,0.9935399575138815,-0.015516525679114879,1.0107603773834755,0.9848913384500497,1.017342956621978,0.996848815689099,-0.006582579238502584,lower_in_followthrough,lower_in_followthrough,9,11,0.8181818181818182,"ADAUSDT,FILUSDT",6,11,0.5454545454545454,"ATOMUSDT,DOGEUSDT,FILUSDT,UNIUSDT,XRPUSDT",True,False,False,False,0.6818181818181819,0.5454545454545454,0.015516525679114879,0.006582579238502584,0.022099104917617463,executed_only,1
entry_plus_di,numeric,16.734943538080227,17.03607617983211,16.94448268880022,16.934111451574815,-0.20953915071999418,16.226528322624635,16.12602014144291,16.75476621774599,16.899091168730937,-0.5282378951213538,lower_in_followthrough,lower_in_followthrough,7,11,0.6363636363636364,"ADAUSDT,ATOMUSDT,DOTUSDT,UNIUSDT",9,11,0.8181818181818182,"ADAUSDT,ETCUSDT",False,True,False,False,0.7272727272727273,0.6363636363636364,0.20953915071999418,0.5282378951213538,0.737777045841348,starter_only,2
entry_short_resumption_strong,boolean,0.5081967213114754,1.0,0.3829787234042553,0.0,0.1252179979072201,0.4659090909090909,0.0,0.35906040268456374,0.0,0.10684868822452714,higher_in_followthrough,higher_in_followthrough,8,11,0.7272727272727273,"FILUSDT,LTCUSDT,XRPUSDT",8,11,0.7272727272727273,"ATOMUSDT,FILUSDT,XRPUSDT",False,False,False,False,0.7272727272727273,0.7272727272727273,0.1252179979072201,0.10684868822452714,0.23206668613174725,weak_or_inconsistent,3
entry_di_spread,numeric,-7.411690783127673,-7.171451206863612,-6.959802319763572,-6.324732289417676,-0.45188846336410116,-8.054076284587635,-7.74878040855961,-6.493657339464736,-5.781768402938357,-1.5604189451228994,lower_in_followthrough,lower_in_followthrough,7,11,0.6363636363636364,"AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT",8,11,0.7272727272727273,"AAVEUSDT,ADAUSDT,UNIUSDT",False,False,False,False,0.6818181818181819,0.6363636363636364,0.45188846336410116,1.5604189451228994,2.0123074084870005,weak_or_inconsistent,3
entry_minus_di,numeric,24.146634321207905,23.920617123661984,23.904285008563797,23.635413539701574,0.24234931264410875,24.280604607212272,23.89151864401152,23.248423557210725,23.14500318085589,1.0321810500015474,higher_in_followthrough,higher_in_followthrough,7,11,0.6363636363636364,"AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT",8,11,0.7272727272727273,"AAVEUSDT,FILUSDT,UNIUSDT",False,False,False,False,0.6818181818181819,0.6363636363636364,0.24234931264410875,1.0321810500015474,1.2745303626456561,weak_or_inconsistent,3
entry_rsi,numeric,44.66369260979722,45.14010076699831,44.7058058075426,44.85715020640728,-0.0421131977453868,44.39655851113722,44.65717506673113,44.628277011575044,44.866521664116604,-0.23171850043782172,lower_in_followthrough,lower_in_followthrough,8,11,0.7272727272727273,"ATOMUSDT,NEARUSDT,UNIUSDT",7,11,0.6363636363636364,"ATOMUSDT,DOGEUSDT,NEARUSDT,UNIUSDT",False,False,False,False,0.6818181818181819,0.6363636363636364,0.0421131977453868,0.23171850043782172,0.2738316981832085,weak_or_inconsistent,3
executed_short1,starter_context_boolean,,,,,,0.3465909090909091,0.0,0.31543624161073824,0.0,0.031154667480170872,not_applicable,higher_in_followthrough,0,0,,,5,11,0.45454545454545453,"AAVEUSDT,DOGEUSDT,FILUSDT,LTCUSDT,UNIUSDT,XRPUSDT",False,False,False,False,0.45454545454545453,0.45454545454545453,,0.031154667480170872,0.031154667480170872,weak_or_inconsistent,3
