candidate,candidate_net_pnl,candidate_profit_factor,candidate_BTCUSDT_net_pnl,candidate_BTCUSDT_profit_factor,reference,reference_net_pnl,reference_profit_factor,reference_BTCUSDT_net_pnl,reference_BTCUSDT_profit_factor,candidate_minus_reference_net_pnl,interpretation
C_volatility_compression_breakout,57.87683139049534,1.0075754321414845,-101.96367385501422,0.6972352113161302,failed_Long1_only_holdout,-69.89,0.9832,-50.21,0.8475,127.76683139049534,must_beat_no_trade_not_merely_failed_references
C_volatility_compression_breakout,57.87683139049534,1.0075754321414845,-101.96367385501422,0.6972352113161302,D2_dry_run_reference,-51.92,NA,NA,NA,109.79683139049534,must_beat_no_trade_not_merely_failed_references
C_volatility_compression_breakout,57.87683139049534,1.0075754321414845,-101.96367385501422,0.6972352113161302,D6_early_stop_dry_run_reference,-103.78,NA,NA,NA,161.65683139049534,must_beat_no_trade_not_merely_failed_references
C_volatility_compression_breakout,57.87683139049534,1.0075754321414845,-101.96367385501422,0.6972352113161302,cooldown_after_exit_validation,-91.46,0.9725,-73.14,0.7461,149.33683139049532,must_beat_no_trade_not_merely_failed_references
C_volatility_compression_breakout,57.87683139049534,1.0075754321414845,-101.96367385501422,0.6972352113161302,anti_chase_validation,-225.26,0.9445,-82.62,0.7259,283.13683139049533,must_beat_no_trade_not_merely_failed_references
C_volatility_compression_breakout,57.87683139049534,1.0075754321414845,-101.96367385501422,0.6972352113161302,regime_filtered_long_only_validation,-266.26,0.9318,-30.08,0.9021,324.13683139049533,must_beat_no_trade_not_merely_failed_references
D_mean_reversion_oversold_bounce,3853.3206954951756,1.760127441945461,253.84076938536865,2.3689022585477293,failed_Long1_only_holdout,-69.89,0.9832,-50.21,0.8475,3923.2106954951755,must_beat_no_trade_not_merely_failed_references
D_mean_reversion_oversold_bounce,3853.3206954951756,1.760127441945461,253.84076938536865,2.3689022585477293,D2_dry_run_reference,-51.92,NA,NA,NA,3905.2406954951757,must_beat_no_trade_not_merely_failed_references
D_mean_reversion_oversold_bounce,3853.3206954951756,1.760127441945461,253.84076938536865,2.3689022585477293,D6_early_stop_dry_run_reference,-103.78,NA,NA,NA,3957.100695495176,must_beat_no_trade_not_merely_failed_references
D_mean_reversion_oversold_bounce,3853.3206954951756,1.760127441945461,253.84076938536865,2.3689022585477293,cooldown_after_exit_validation,-91.46,0.9725,-73.14,0.7461,3944.7806954951757,must_beat_no_trade_not_merely_failed_references
