spot_style_symbol,base_asset,quote_asset,local_ohlcv_file,proposed_okx_swap_inst_id,derivative_instrument_type_to_check,funding_rate_expected,open_interest_expected,visibility_requirement,mapping_notes
AAVEUSDT,AAVE,USDT,data/AAVEUSDT_4h.csv,AAVE-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
ADAUSDT,ADA,USDT,data/ADAUSDT_4h.csv,ADA-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
ATOMUSDT,ATOM,USDT,data/ATOMUSDT_4h.csv,ATOM-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
AVAXUSDT,AVAX,USDT,data/AVAXUSDT_4h.csv,AVAX-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
BCHUSDT,BCH,USDT,data/BCHUSDT_4h.csv,BCH-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
BNBUSDT,BNB,USDT,data/BNBUSDT_4h.csv,BNB-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
BTCUSDT,BTC,USDT,data/BTCUSDT_4h.csv,BTC-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_anchor_and_market,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
DOGEUSDT,DOGE,USDT,data/DOGEUSDT_4h.csv,DOGE-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_prior_weak_market,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
DOTUSDT,DOT,USDT,data/DOTUSDT_4h.csv,DOT-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_prior_weak_market,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
ETCUSDT,ETC,USDT,data/ETCUSDT_4h.csv,ETC-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
ETHUSDT,ETH,USDT,data/ETHUSDT_4h.csv,ETH-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
FILUSDT,FIL,USDT,data/FILUSDT_4h.csv,FIL-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
LINKUSDT,LINK,USDT,data/LINKUSDT_4h.csv,LINK-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
LTCUSDT,LTC,USDT,data/LTCUSDT_4h.csv,LTC-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
NEARUSDT,NEAR,USDT,data/NEARUSDT_4h.csv,NEAR-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
SOLUSDT,SOL,USDT,data/SOLUSDT_4h.csv,SOL-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
TRXUSDT,TRX,USDT,data/TRXUSDT_4h.csv,TRX-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
UNIUSDT,UNI,USDT,data/UNIUSDT_4h.csv,UNI-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_prior_weak_market,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
XRPUSDT,XRP,USDT,data/XRPUSDT_4h.csv,XRP-USDT-SWAP,USDT_margined_perpetual_swap,check_availability_not_assumed,check_availability_not_assumed,required_visible_same_19_market_universe,Future audit must verify the OKX instId exists and must document missing instruments rather than substituting markets.
