market,okx_inst_id,source,sampling_interval,can_align_to_4h,alignment_method,future_leakage_risk,forward_fill_default,sparse_or_higher_timeframe,alignment_decision
AAVEUSDT,AAVE-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
ADAUSDT,ADA-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
ATOMUSDT,ATOM-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
AVAXUSDT,AVAX-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
BCHUSDT,BCH-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
BNBUSDT,BNB-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
BTCUSDT,BTC-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
DOGEUSDT,DOGE-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
DOTUSDT,DOT-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
ETCUSDT,ETC-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
ETHUSDT,ETH-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
FILUSDT,FIL-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
LINKUSDT,LINK-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
LTCUSDT,LTC-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
NEARUSDT,NEAR-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
SOLUSDT,SOL-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
TRXUSDT,TRX-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
UNIUSDT,UNI-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
XRPUSDT,XRP-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,60m,True,aggregate 1h rows into closed 4h buckets only,low if closed buckets only; high if incomplete current bucket used,no,False,alignable_to_4h_as_1h_ccy_contracts_aggregate_context
