EntryTime,open,high,low,close,volume,ema20,ema50,ema200,atr,atr_ma,rsi,cont_high,cont_low,plus_di,minus_di,adx,weekly_ema200,weekly_bull,weekly_bear,daily_ema200,daily_bull,daily_bear,exec_bull_structure,exec_bear_structure,exec_slope_up,exec_slope_down,exec_adx_pass,exec_atr_pass,exec_distance_atr,exec_distance_pass,long_distance_cap_pass,short_distance_cap_pass,short_ema20_gap_atr,short_ema20_proximity_pass,exec_bull_momentum,exec_bear_momentum,short_squeeze_risk,short_squeeze_pass,long_pullback,short_pullback,long_resumption_soft,short_resumption_soft,long_resumption_strong,short_resumption_strong,long_resumption,short_resumption,starter_long_signal,starter_short_signal,add_long_signal,add_short_signal,atr_ratio,di_spread,close_ema20_gap_atr,regime_label,executed_short1,baseline_active_context,blocked_by_open_trade_context,entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_atr_ratio,entry_adx,entry_plus_di,entry_minus_di,entry_di_spread,entry_rsi,entry_exec_bear_structure,entry_exec_slope_down,entry_exec_adx_pass,entry_exec_atr_pass,entry_exec_distance_pass,entry_short_distance_cap_pass,entry_short_ema20_proximity_pass,entry_exec_bear_momentum,entry_short_squeeze_risk,entry_short_squeeze_pass,entry_short_pullback,entry_short_resumption,entry_short_resumption_strong,entry_starter_short_signal,fwd_24bar_short_return,fwd_24bar_mfe_atr,fwd_24bar_mae_atr,followthrough_label,symbol,population
2022-04-29 00:00:00+00:00,18.09,18.2,17.68,17.87,369736.52,17.993550471854796,18.49545702612238,19.90389091928376,0.49027031181667274,0.4788109331017648,45.51183028698741,18.51,17.38,17.434728247990016,19.212271460207443,19.87855506340703,43.69212372897958,False,True,33.24110392010863,False,True,False,True,False,True,True,True,1.2757391403219567,True,True,True,0.2520047999581798,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,1.0239329930097323,-1.7775432122174273,0.0,other,True,flat,False,1.2757391403219567,0.2520047999581798,1.0239329930097323,19.87855506340703,17.434728247990016,19.212271460207443,-1.7775432122174273,45.51183028698741,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.17291550083939572,12.27894052506093,0.34674748991035464,True,FILUSDT,starter_short_followthrough
2022-04-30 16:00:00+00:00,17.62,17.71,17.21,17.5,401764.74,17.65575103700036,18.153565003279365,19.671271315678585,0.49599810104587405,0.47887843376137995,44.19261251757291,18.2,17.0,16.160406101295425,16.826079772128505,18.459568573130937,43.69212372897958,False,True,33.08258547314237,False,True,False,True,False,True,True,True,1.3176764223517008,True,True,True,0.3140153897201219,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,1.0357495056731343,-0.6656736708330797,0.0,other,False,Short1,True,1.3176764223517008,0.3140153897201219,1.0357495056731343,18.459568573130937,16.160406101295425,16.826079772128505,-0.6656736708330797,44.19261251757291,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.10742857142857147,11.391172643778814,0.08064547004445005,True,FILUSDT,starter_short_followthrough
2022-06-07 20:00:00+00:00,7.53,7.66,7.17,7.33,904233.42,7.429176927743003,7.548364384991945,9.539695385984855,0.23910790852614425,0.1916306488208579,45.85836604169658,7.88,7.0,20.645989529442225,20.70895952564547,17.40734072486797,41.8461022439134,False,True,25.604103401510983,False,True,False,True,False,True,True,True,0.9132461838587371,True,True,True,0.4147789521238657,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,1.2477539996729308,-0.06296999620324328,0.0,other,False,Short1,True,0.9132461838587371,0.4147789521238657,1.2477539996729308,17.40734072486797,20.645989529442225,20.70895952564547,-0.06296999620324328,45.85836604169658,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.16780354706684864,5.311409429442346,0.5436875793917355,True,FILUSDT,starter_short_followthrough
2022-06-08 00:00:00+00:00,7.33,7.46,7.14,7.19,592104.36,7.40639817271986,7.534310879698144,9.516315332392967,0.2448859150599911,0.19437131676222516,41.96010437876848,7.88,7.0,18.718935733857737,19.651071276126142,16.33748308605801,41.8461022439134,False,True,25.422271526869086,False,True,False,True,False,True,True,True,1.4060052396798566,True,True,True,0.8836693309488515,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,1.2598871023730347,-0.932135542268405,0.0,other,False,Short1,True,1.4060052396798566,0.8836693309488515,1.2598871023730347,16.33748308605801,18.718935733857737,19.651071276126142,-0.932135542268405,41.96010437876848,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.196105702364395,6.288642609856665,0.8983775156938082,True,FILUSDT,starter_short_followthrough
2022-07-01 00:00:00+00:00,5.4,5.56,5.32,5.32,967091.04,5.475817665434476,5.632625304593314,6.687315459196915,0.20355147795051415,0.20763142769175805,39.20554872697796,5.57,5.08,16.770631141634315,20.01868906407111,29.023926383813667,40.79171847468947,False,True,21.390816718156053,False,True,False,True,False,True,True,True,1.5358537689876999,True,True,True,0.765495131763949,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9803500376286925,-3.2480579224367965,0.0,other,False,Short1,True,1.5358537689876999,0.765495131763949,0.9803500376286925,29.023926383813667,16.770631141634315,20.01868906407111,-3.2480579224367965,39.20554872697796,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.03759398496240588,0.6386590817660606,1.4247010285550596,False,FILUSDT,starter_short_adverse
2022-07-01 08:00:00+00:00,5.39,5.49,5.25,5.33,897017.38,5.454535549255886,5.611616053951767,6.661029665098811,0.20459285598794333,0.20613117999952607,40.72901083770288,5.57,5.08,17.179791260169967,20.090845121924385,26.680952298850908,40.79171847468947,False,True,21.390816718156053,False,True,False,True,False,True,True,True,1.3764706132669793,True,True,True,0.6086994027945181,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9925371600182646,-2.911053861754418,0.0,other,False,Short1,True,1.3764706132669793,0.6086994027945181,0.9925371600182646,26.680952298850908,17.179791260169967,20.090845121924385,-2.911053861754418,40.72901083770288,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.015009380863039413,0.6842858677736523,1.5152044214988032,False,FILUSDT,starter_short_adverse
2022-07-01 20:00:00+00:00,5.37,5.45,5.3,5.35,273599.36,5.4261094193225485,5.581349233186117,6.622090441058245,0.1904411459932622,0.20261614521099078,42.92086606039968,5.56,5.08,17.027660314024768,17.281197526871914,22.41414275372528,40.79171847468947,False,True,21.390816718156053,False,True,False,True,False,True,True,True,1.2148069787098554,True,True,True,0.3996479800916638,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,0.9399110115087307,-0.2535372128471458,0.0,other,False,Short1,True,1.2148069787098554,0.3996479800916638,0.9399110115087307,22.41414275372528,17.027660314024768,17.281197526871914,-0.2535372128471458,42.92086606039968,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.02616822429906553,0.8401545746088928,1.5227801664786256,False,FILUSDT,starter_short_adverse
2022-07-14 00:00:00+00:00,5.29,5.34,5.25,5.27,584114.8,5.28237757031816,5.404141556286676,6.013498127770337,0.14063639659054494,0.1316550252613759,46.40080254292077,5.32,5.0,15.86535737195405,26.60029732743323,35.4425185363465,40.09405220950416,False,True,19.448515417353693,False,True,False,True,False,True,True,True,0.9538182116342363,True,True,True,0.08801114518169266,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,1.0682189784350293,-10.73493995547918,0.0,other,False,Short1,True,0.9538182116342363,0.08801114518169266,1.0682189784350293,35.4425185363465,15.86535737195405,26.60029732743323,-10.73493995547918,46.40080254292077,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.10056925996204939,0.7821588341761793,5.048479747864462,False,FILUSDT,starter_short_adverse
2022-07-14 04:00:00+00:00,5.27,5.3,5.2,5.22,358445.52,5.276436849335479,5.396920318785239,6.005602624011428,0.13773379683407744,0.13225109488556333,43.454022565990954,5.34,5.0,15.042581961465945,27.813802924587595,35.03948454260283,40.09405220950416,False,True,19.448515417353693,False,True,False,True,False,True,True,True,1.2845091244988194,True,True,True,0.40975309352334394,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,1.0414567603637481,-12.77122096312165,0.0,other,False,Short1,True,1.2845091244988194,0.40975309352334394,1.0414567603637481,35.03948454260283,15.042581961465945,27.813802924587595,-12.77122096312165,43.454022565990954,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.1302681992337166,0.43562292900615585,5.517890434078015,False,FILUSDT,starter_short_adverse
2022-07-15 20:00:00+00:00,5.34,5.38,5.2,5.23,455184.51,5.313551374060187,5.376509965023035,5.941721716036397,0.12635813702840865,0.1332617721534371,42.80248366845223,5.46,5.16,16.571766006786405,24.331557491996715,21.696425341373846,40.09405220950416,False,True,19.3083311843452,False,True,False,True,False,True,True,True,1.1594818384359016,True,True,True,0.6612267007498042,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.9481949323240304,-7.759791485210311,0.0,other,False,Short1,True,1.1594818384359016,0.6612267007498042,0.9481949323240304,21.696425341373846,16.571766006786405,24.331557491996715,-7.759791485210311,42.80248366845223,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.15487571701720831,0.5539809437382132,8.230574021253414,False,FILUSDT,starter_short_adverse
