symbol,base_population,clean_followthrough_count,weak_followthrough_count,adverse_dominant_count,mixed_chop_count,sample_too_small_to_interpret,clean_like_field_votes,adverse_like_field_votes,mixed_like_field_votes,tie_votes,not_testable_votes,weak_affinity,field_affinity_detail
FILUSDT,executed_short1,6,3,11,3,False,3,3,6,7,0,mixed_chop,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:adverse_dominant;entry_adx:clean_followthrough;entry_atr_ratio:mixed_chop;entry_plus_di:clean_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:mixed_chop;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
DOTUSDT,executed_short1,11,0,4,3,True,0,0,0,0,19,sample_too_small_no_weak_followthrough,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable;entry_exec_bear_structure:not_testable;entry_exec_slope_down:not_testable
ATOMUSDT,executed_short1,7,1,7,3,False,3,5,3,8,0,adverse_dominant,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:adverse_dominant;entry_plus_di:mixed_chop;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
UNIUSDT,executed_short1,7,4,5,0,False,6,6,0,7,0,inconsistent_or_tied,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:adverse_dominant;entry_adx:adverse_dominant;entry_atr_ratio:adverse_dominant;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ADAUSDT,executed_short1,6,0,5,2,True,0,0,0,0,19,sample_too_small_no_weak_followthrough,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable;entry_exec_bear_structure:not_testable;entry_exec_slope_down:not_testable
XRPUSDT,executed_short1,5,1,6,1,False,2,5,5,7,0,inconsistent_or_tied,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:clean_followthrough;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:adverse_dominant;entry_minus_di:mixed_chop;entry_di_spread:adverse_dominant;entry_short_resumption_strong:adverse_dominant;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
LTCUSDT,executed_short1,3,0,7,1,True,0,0,0,0,19,sample_too_small_no_weak_followthrough,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable;entry_exec_bear_structure:not_testable;entry_exec_slope_down:not_testable
DOGEUSDT,executed_short1,3,0,8,0,True,0,0,0,0,19,sample_too_small_no_weak_followthrough,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable;entry_exec_bear_structure:not_testable;entry_exec_slope_down:not_testable
NEARUSDT,executed_short1,7,1,2,1,False,1,4,7,7,0,mixed_chop,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:adverse_dominant;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:adverse_dominant;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ETCUSDT,executed_short1,4,0,5,1,True,0,0,0,0,19,sample_too_small_no_weak_followthrough,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable;entry_exec_bear_structure:not_testable;entry_exec_slope_down:not_testable
AAVEUSDT,executed_short1,2,1,6,1,False,1,7,4,7,0,adverse_dominant,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:adverse_dominant;entry_adx:clean_followthrough;entry_atr_ratio:mixed_chop;entry_plus_di:adverse_dominant;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:mixed_chop;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
FILUSDT,starter_short_signal,21,5,43,5,False,3,6,3,7,0,adverse_dominant,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:adverse_dominant;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:adverse_dominant;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
DOTUSDT,starter_short_signal,33,4,19,7,False,2,6,4,7,0,adverse_dominant,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:adverse_dominant;entry_atr_ratio:mixed_chop;entry_plus_di:adverse_dominant;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ATOMUSDT,starter_short_signal,18,8,25,5,False,3,4,5,7,0,mixed_chop,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:mixed_chop;entry_short_resumption_strong:adverse_dominant;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
UNIUSDT,starter_short_signal,19,7,16,0,False,6,6,0,7,0,inconsistent_or_tied,fwd_24bar_short_return:clean_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:adverse_dominant;entry_adx:adverse_dominant;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:clean_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
