path,change_status,category,insertions,deletions,risk_flag,notes
app.py,A,app_source_py,11,0,outside_unit_fix_scope_for_merge_review,Top-level app source added; outside narrow unit-fix scope.
data/AAVEUSDT_4h.csv,A,data_file,12240,0,merge_size_risk,Large local market data file added to branch.
data/ADAUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
data/ATOMUSDT_4h.csv,A,data_file,15445,0,merge_size_risk,Large local market data file added to branch.
data/AVAXUSDT_4h.csv,A,data_file,12377,0,merge_size_risk,Large local market data file added to branch.
data/BCHUSDT_4h.csv,A,data_file,14169,0,merge_size_risk,Large local market data file added to branch.
data/BNBUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
data/BTCUSDT_1h.csv,A,data_file,20001,0,merge_size_risk,Large local market data file added to branch.
data/BTCUSDT_4h.csv,A,data_file,15948,0,merge_size_risk,Large local market data file added to branch.
data/DOGEUSDT_4h.csv,A,data_file,15043,0,merge_size_risk,Large local market data file added to branch.
data/DOTUSDT_4h.csv,A,data_file,12583,0,merge_size_risk,Large local market data file added to branch.
data/ETCUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
data/ETHUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
data/FILUSDT_4h.csv,A,data_file,12236,0,merge_size_risk,Large local market data file added to branch.
data/LINKUSDT_4h.csv,A,data_file,16061,0,merge_size_risk,Large local market data file added to branch.
data/LTCUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
data/NEARUSDT_4h.csv,A,data_file,12245,0,merge_size_risk,Large local market data file added to branch.
data/SOLUSDT_4h.csv,A,data_file,12629,0,merge_size_risk,Large local market data file added to branch.
data/TRXUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
data/UNIUSDT_4h.csv,A,data_file,12408,0,merge_size_risk,Large local market data file added to branch.
data/XRPUSDT_4h.csv,A,data_file,16153,0,merge_size_risk,Large local market data file added to branch.
mtf_pullback_webhook_strategy.pine,A,pine_script,357,0,outside_unit_fix_scope_for_merge_review,Pine strategy script added; outside narrow unit-fix scope.
requirements.txt,M,requirements,10,4,outside_unit_fix_scope_for_merge_review,Requirements changed relative to main; review dependency/runtime impact before merge.
research/README.md,A,docs,20,0,review_documentation,Documentation or text artifact.
research/__init__.py,A,research_source_py,1,0,research_workspace_scope,Research script/module added by migration branch.
research/ablation_study.py,A,research_source_py,114,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long1_continuation_archetypes.py,A,research_source_py,198,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long1_momentum_candidate.py,A,research_source_py,420,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long1_reclaim_retest.py,A,research_source_py,265,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_only_archetypes.py,A,research_source_py,180,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_only_continuation.py,A,research_source_py,184,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_only_paths.py,A,research_source_py,217,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_only_reclaim.py,A,research_source_py,175,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_only_reclaim_strength.py,A,research_source_py,154,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_only_regimes.py,A,research_source_py,140,0,research_workspace_scope,Research script/module added by migration branch.
research/analyze_long_runner_leg.py,A,research_source_py,242,0,research_workspace_scope,Research script/module added by migration branch.
research/config.py,A,research_source_py,133,0,review_required_new_relative_to_main,New research module relative to main; not changed by post-unit-fix tasks but should be reviewed before merge.
research/data.py,A,research_source_py,42,0,research_workspace_scope,Research script/module added by migration branch.
research/diagnose_failure_regime.py,A,research_source_py,242,0,research_workspace_scope,Research script/module added by migration branch.
research/diagnose_long_only_candidate.py,A,research_source_py,176,0,research_workspace_scope,Research script/module added by migration branch.
research/download_data.py,A,research_source_py,183,0,research_workspace_scope,Research script/module added by migration branch.
research/indicators.py,A,research_source_py,297,0,review_required_new_relative_to_main,New research module relative to main; not changed by post-unit-fix tasks but should be reviewed before merge.
research/inspect_results.py,A,research_source_py,51,0,research_workspace_scope,Research script/module added by migration branch.
research/long_only_candidate.py,A,research_source_py,56,0,research_workspace_scope,Research script/module added by migration branch.
research/optimize.py,A,research_source_py,130,0,research_workspace_scope,Research script/module added by migration branch.
research/run_backtest.py,A,research_source_py,49,0,research_workspace_scope,Research script/module added by migration branch.
research/run_long_only_candidate.py,A,research_source_py,52,0,research_workspace_scope,Research script/module added by migration branch.
research/run_split_leg_mini_experiment.py,A,research_source_py,173,0,research_workspace_scope,Research script/module added by migration branch.
research/strategy.py,A,research_source_py,336,0,unit_fix_source_contains_approved_runtime_scaling_helpers,Approved unit-fix source target; review helper use and trend_fail comparisons.
research/validate_candidates.py,A,research_source_py,203,0,research_workspace_scope,Research script/module added by migration branch.
research/validate_long_only_candidate.py,A,research_source_py,59,0,research_workspace_scope,Research script/module added by migration branch.
