EntryTime,ExitTime,Tag,PnL,ReturnPct,entry_bar,regime_label,bull_alignment,weekly_bull,daily_bull,exec_bull_structure,exec_slope_up,entry_close,entry_ema20,entry_cont_high,entry_cont_gap_atr,entry_close_ema20_gap_atr,entry_exec_distance_atr,entry_atr_ratio,entry_adx,entry_di_spread,recent_close_below_ema20_1,recent_close_below_ema20_2,label_tight,candidate_in_tight,recent_close_below_ema20_tight,breakout_like_tight,label_center,candidate_in_center,recent_close_below_ema20_center,breakout_like_center,label_loose,candidate_in_loose,recent_close_below_ema20_loose,breakout_like_loose,candidate_consensus_count,orderly_reset,multi_bar_support_acceptance,support_to_release_sequence,constructive_overhead_absorption_path,overhead_band_count_050atr,p1_high_gap_atr,entry_high_gap_atr,group
2019-04-22 08:00:00+00:00,2019-04-24 16:00:00+00:00,Long1,22.62615133683996,0.022637464454976365,595,other,True,True,True,True,True,5275.0,5248.7023002196265,5314.35,0.6762784232329873,0.4519584991645562,1.3073889450848877,0.9840331761534066,17.490234290926296,1.6396468845032928,True,True,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,0,False,False,False,False,5,1.0200031618520373,0.33736583095459954,other_long1
2019-05-06 12:00:00+00:00,2019-05-17 00:00:00+00:00,Long1,280.24402377878755,0.2803207296134343,680,unstable_transition,True,True,True,True,True,5730.98,5699.005767828285,5874.34,1.545130228076769,0.34461741523480194,1.6526216333057466,1.0632859130012906,29.78949146243034,1.5507414037653042,False,True,excluded_energy_quality,False,False,False,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,0,False,False,False,False,3,1.771252104367574,1.4454339766139477,other_long1
2019-05-19 00:00:00+00:00,2019-05-22 20:00:00+00:00,Long1,-35.842347679162344,-0.035751987797378634,753,mature_trend,True,True,True,True,True,7903.22,7477.698597357149,7458.0,0.0,1.4306324269203734,2.093665805887317,0.9715899309168708,31.501749690452012,7.093633869165391,True,True,excluded_reclaim_damage,False,True,True,excluded_reclaim_damage,False,True,True,excluded_reclaim_damage,False,True,True,0,False,False,False,False,8,0.383309516231527,0.0,other_long1
2019-06-18 20:00:00+00:00,2019-06-27 16:00:00+00:00,Long1,213.02481327916627,0.2125637385688568,938,unstable_transition,True,True,True,True,True,9081.55,9020.56833854445,9444.0,1.708940964225153,0.28752671907269445,1.8650593591500995,1.0879211106222197,44.281356623457555,6.418819684509103,False,False,excluded_depth_or_extension,False,False,False,momentum_persistence_candidate,True,False,False,momentum_persistence_candidate,True,False,False,2,True,True,True,True,3,1.5081775313193542,1.4209034321393077,mp_orderly_support_releasing_overhead_absorbing
2019-06-28 08:00:00+00:00,2019-06-29 00:00:00+00:00,Long1,-47.37120162154921,-0.047168457612992876,995,unstable_transition,True,True,True,True,True,12178.85,11837.694255121214,13970.0,2.496342149642533,0.4754718842830633,1.4165407031148445,1.4671400458880561,37.30953536064776,0.3109044893653703,True,True,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,0,False,False,False,False,2,3.216680725441737,2.4626840735942586,other_long1
2019-08-07 00:00:00+00:00,2019-08-10 08:00:00+00:00,Long1,-22.138334190949767,-0.022053981682807262,1233,weakening_trend,True,True,True,True,True,11640.43,11424.78264420099,12330.7,2.2874093643814666,0.7146099078023928,2.5017994742534038,1.2784041953278775,45.78224063426642,9.200552075992146,False,False,excluded_weakening_state,False,False,False,excluded_weakening_state,False,False,False,excluded_weakening_state,False,False,False,0,False,False,False,False,2,1.9342588349333778,2.109823393910197,other_long1
2020-01-31 12:00:00+00:00,2020-02-02 00:00:00+00:00,Long1,-8.775631182375356,-0.008744121278183796,2297,weakening_trend,True,True,True,True,True,9339.19,9269.6284898733,9578.0,1.6014248266900988,0.466469282270233,2.220925575770377,0.9826988475624017,33.79610881668937,3.951051467267213,False,False,excluded_weakening_state,False,False,False,excluded_weakening_state,False,False,False,excluded_weakening_state,False,False,False,0,False,False,False,False,3,1.0934564391779542,1.556965019307853,other_long1
2020-02-03 00:00:00+00:00,2020-02-03 12:00:00+00:00,Long1,-13.35632431659338,-0.013309530354511425,2312,other,True,True,True,True,True,9385.59,9355.421291224216,9477.03,0.6409237915237451,0.2114593527334957,1.4790936843880174,1.0248531274726629,18.625429016207384,3.1394674606623063,True,True,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,0,False,False,False,False,7,0.15532448840951465,0.0,other_long1
2020-02-05 08:00:00+00:00,2020-02-10 04:00:00+00:00,Long1,57.61497926126308,0.05742075844509954,2326,mature_trend,True,True,True,True,True,9418.48,9292.798201585187,9350.0,0.0,1.039312806031936,1.6658293363415653,0.9377586099058031,16.266295348604846,3.149874996103243,True,True,excluded_reclaim_damage,False,True,True,excluded_reclaim_damage,False,True,True,excluded_reclaim_damage,False,True,True,0,False,False,False,False,6,0.41346989744755375,0.0,other_long1
2020-02-11 12:00:00+00:00,2020-02-15 12:00:00+00:00,Long1,-18.951677266653753,-0.018876957576938025,2363,mature_trend,True,True,True,True,True,10164.99,9889.512641016023,10188.0,0.15726227704330834,1.882755182429234,2.984469569088639,1.169724957459711,25.082143436471306,14.781412748268394,True,True,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,excluded_reclaim_damage,False,True,False,0,False,False,False,False,2,2.5492755035703367,0.0,other_long1
