comparison,population_scope,field,combined_with,expected_direction,followthrough_count,adverse_count,followthrough_avg,followthrough_median,adverse_avg,adverse_median,avg_delta_follow_minus_adverse,median_delta_follow_minus_adverse,supporting_market_count,contradicting_market_count,testable_market_count,contradicting_markets
field_alone,executed_short1,entry_short_ema20_gap_atr,,higher_in_followthrough,61.0,94.0,0.4424217523474931,0.4004872896972984,0.39841501146712877,0.40055466541215956,0.044006740880364326,-6.73757148611509e-05,10,1,11,LTCUSDT
field_alone,starter_short_signal,entry_short_ema20_gap_atr,,higher_in_followthrough,176.0,298.0,0.45540325316131375,0.43042377089060213,0.40075540900664786,0.3955597223685611,0.05464784415466589,0.03486404852204106,10,1,11,NEARUSDT
field_alone,executed_short1,entry_exec_distance_atr,,lower_in_followthrough,61.0,94.0,1.1155052253972513,1.1805437597817925,1.2412804747473543,1.3275551166548172,-0.12577524935010298,-0.1470113568730247,10,1,11,DOTUSDT
field_alone,starter_short_signal,entry_exec_distance_atr,,lower_in_followthrough,176.0,298.0,1.1616595331256736,1.1887572662680614,1.1973496454682153,1.2175433612265874,-0.03569011234254171,-0.02878609495852591,6,5,11,"ADAUSDT,XRPUSDT,LTCUSDT,NEARUSDT,ETCUSDT"
field_alone,executed_short1,entry_adx,,lower_in_followthrough,61.0,94.0,24.537588195260575,22.88069927247729,27.111466435016396,25.556948432989216,-2.573878239755821,-2.676249160511926,11,0,11,
field_alone,starter_short_signal,entry_adx,,lower_in_followthrough,176.0,298.0,24.412010188591136,22.795826666995467,26.49824569419824,25.08574452230944,-2.086235505607103,-2.2899178553139734,8,3,11,"DOTUSDT,ATOMUSDT,NEARUSDT"
field_alone,executed_short1,entry_atr_ratio,,lower_in_followthrough,61.0,94.0,0.9970995045345176,0.9699150681152005,1.0126160302136324,0.9935399575138815,-0.015516525679114879,-0.023624889398681015,9,2,11,"FILUSDT,ADAUSDT"
field_alone,starter_short_signal,entry_atr_ratio,,lower_in_followthrough,176.0,298.0,1.0107603773834755,0.9848913384500497,1.017342956621978,0.996848815689099,-0.006582579238502584,-0.011957477239049275,6,5,11,"FILUSDT,ATOMUSDT,UNIUSDT,XRPUSDT,DOGEUSDT"
field_alone,executed_short1,entry_plus_di,,lower_in_followthrough,61.0,94.0,16.734943538080227,17.03607617983211,16.94448268880022,16.934111451574815,-0.20953915071999418,0.10196472825729685,7,4,11,"DOTUSDT,ATOMUSDT,UNIUSDT,ADAUSDT"
field_alone,starter_short_signal,entry_plus_di,,lower_in_followthrough,176.0,298.0,16.226528322624635,16.12602014144291,16.75476621774599,16.899091168730937,-0.5282378951213538,-0.7730710272880259,9,2,11,"ADAUSDT,ETCUSDT"
